item_id,order_id,product_id,quantity,unit_price,total_price
ITEM-70AFC42F,ORD-D17B337A,PROD-ABEABAEB,3,3413.49,10240.47
ITEM-41DD8A89,ORD-D17B337A,PROD-0E7593BC,2,3575.82,7151.64
ITEM-9E8D8492,ORD-DCE0764F,PROD-510DD867,2,16227.31,32454.62
ITEM-1ABCCE0E,ORD-B0E58217,PROD-CD51CEBB,3,9006.09,27018.27
ITEM-366B3669,ORD-46B6088B,PROD-D58C3016,3,1292.54,3877.62
ITEM-4424E9ED,ORD-46B6088B,PROD-4CA1DF0A,3,4098.77,12296.31
ITEM-C37CA34E,ORD-46B6088B,PROD-1013CB12,1,3611.61,3611.61
ITEM-5FD6C61A,ORD-46B6088B,PROD-97EA55D8,2,2041.07,4082.14
ITEM-E5C1FC73,ORD-46B6088B,PROD-C0B127A9,1,5939.9,5939.9
ITEM-C2CF0986,ORD-442E00D4,PROD-6D2426CB,3,63308.67,189926.01
ITEM-DF50B311,ORD-442E00D4,PROD-010E83D4,2,1703.6,3407.2
ITEM-06DDCA26,ORD-442E00D4,PROD-71C4E5EF,2,4757.86,9515.72
ITEM-7ADC6E6F,ORD-442E00D4,PROD-8B0DE042,2,75451.94,150903.88
ITEM-262907D7,ORD-442E00D4,PROD-4CA1DF0A,2,4098.77,8197.54
ITEM-B27F5715,ORD-36AFDD49,PROD-D58C3016,3,1292.54,3877.62
ITEM-A6E302AF,ORD-F6B0738C,PROD-51E64CDE,2,31658.83,63317.66
ITEM-6CE0ED2B,ORD-03F94920,PROD-8EA520A4,2,46125.37,92250.74
ITEM-9B0C46EE,ORD-03F94920,PROD-6C8C7B4E,1,3008.3,3008.3
ITEM-CB84619E,ORD-52E89C02,PROD-010E83D4,2,1703.6,3407.2
ITEM-FDEC7C8C,ORD-52E89C02,PROD-6EFF520C,2,7088.63,14177.26
ITEM-7A41AE16,ORD-52E89C02,PROD-9A5F63AA,1,2050.85,2050.85
ITEM-98BD0776,ORD-52E89C02,PROD-8FD1797E,1,9227.42,9227.42
ITEM-AF15A13D,ORD-9DD6A644,PROD-8BC4BBBB,1,3804.02,3804.02
ITEM-AF4F17C3,ORD-9DD6A644,PROD-864E4B64,3,3346.6,10039.8
ITEM-855A965B,ORD-9DD6A644,PROD-6EA27620,1,45451.02,45451.02
ITEM-093CCE0F,ORD-9DD6A644,PROD-465980E0,3,6976.36,20929.08
ITEM-17464715,ORD-9DD6A644,PROD-60974ED2,2,4851.49,9702.98
ITEM-D332BA7F,ORD-2861CDC7,PROD-17DF18B5,3,766.96,2300.88
ITEM-844FD704,ORD-2861CDC7,PROD-187B16A7,1,46478.68,46478.68
ITEM-14B85D88,ORD-166AF3C0,PROD-677D768A,3,6821.55,20464.65
ITEM-78008814,ORD-166AF3C0,PROD-60974ED2,2,4851.49,9702.98
ITEM-592C0E7E,ORD-633B9F0C,PROD-CBD3D5EF,2,1711.26,3422.52
ITEM-8A68B087,ORD-633B9F0C,PROD-ABEABAEB,2,3413.49,6826.98
ITEM-481C133B,ORD-633B9F0C,PROD-963421E3,3,1086.8,3260.4
ITEM-BF39AA19,ORD-ACE7D23E,PROD-C0B127A9,1,5939.9,5939.9
ITEM-2E84A36D,ORD-ACE7D23E,PROD-6EA27620,1,45451.02,45451.02
ITEM-F3EBD736,ORD-A384ED7C,PROD-C0B127A9,2,5939.9,11879.8
ITEM-BF670B7D,ORD-A384ED7C,PROD-790E63A6,3,548.35,1645.05
ITEM-B71B197F,ORD-A384ED7C,PROD-E24F5BD8,3,35395.07,106185.21
ITEM-469E642A,ORD-A384ED7C,PROD-8D72CF50,1,2678.71,2678.71
ITEM-0CD46171,ORD-A384ED7C,PROD-51E64CDE,3,31658.83,94976.49
