order_id,customer_id,order_date,status,total_amount,discount_applied,shipping_city,shipping_country,payment_method
ORD-D17B337A,CUST-63214E32,2023-09-04,Completed,17392.11,0,Mumbai,India,Net Banking
ORD-DCE0764F,CUST-D4F8E1A0,2022-10-14,Pending,32454.62,0,Ahmedabad,India,Wallet
ORD-B0E58217,CUST-085AF52B,2024-03-06,Pending,26818.27,200,Pune,India,UPI
ORD-46B6088B,CUST-9C784288,2023-04-01,Pending,29307.58,500,Hyderabad,India,Wallet
ORD-442E00D4,CUST-72D241B0,2023-06-14,Pending,361950.35,0,Jaipur,India,Net Banking
ORD-36AFDD49,CUST-25DE3C56,2023-08-26,Returned,3877.62,0,Mumbai,India,Credit Card
ORD-F6B0738C,CUST-3E5FDAC1,2023-02-03,Cancelled,63217.66,100,Jaipur,India,Wallet
ORD-03F94920,CUST-37FA9BFF,2022-11-05,Completed,95159.04,100,Surat,India,Net Banking
ORD-52E89C02,CUST-E9FC15B9,2023-01-05,Completed,28862.73,0,Ahmedabad,India,UPI
ORD-9DD6A644,CUST-317D51C8,2022-06-30,Completed,89926.9,0,Bangalore,India,Credit Card
ORD-2861CDC7,CUST-F902EDAD,2023-10-22,Cancelled,48579.56,200,Delhi,India,UPI
ORD-166AF3C0,CUST-BAB7A25E,2023-12-07,Completed,30067.63,100,Pune,India,UPI
ORD-633B9F0C,CUST-458DCACD,2022-04-04,Completed,13409.9,100,Delhi,India,UPI
ORD-ACE7D23E,CUST-9C784288,2024-09-30,Completed,51390.92,0,Hyderabad,India,UPI
ORD-A384ED7C,CUST-8D17B615,2022-02-14,Cancelled,217165.26,200,Hyderabad,India,Credit Card
ORD-CA11ADFC,CUST-89DB5891,2022-08-10,Pending,73312.8,200,Mumbai,India,Wallet
ORD-C4C27F10,CUST-334365C9,2024-02-18,Completed,40975.04,0,Bangalore,India,Net Banking
ORD-B6505DF1,CUST-B804C246,2022-10-08,Returned,5890.75,200,Jaipur,India,Credit Card
ORD-B2964D12,CUST-73A8C853,2022-08-22,Completed,43951.09,0,Bangalore,India,UPI
ORD-DC814AB5,CUST-70AADADD,2024-10-13,Completed,151031.31,200,Bangalore,India,Wallet
ORD-B4FF6FE6,CUST-CB802C4F,2022-07-04,Cancelled,4921.08,0,Jaipur,India,UPI
ORD-9B2B69B9,CUST-92771CD0,2023-08-30,Completed,268132.93,500,Jaipur,India,Wallet
ORD-7064BF21,CUST-9C385E3B,2022-08-26,Completed,1671.95,500,Kolkata,India,UPI
ORD-537AA0E4,CUST-70A90294,2024-01-03,Returned,234746.96,0,Mumbai,India,Wallet
ORD-22AB4239,CUST-55A1383D,2024-05-13,Pending,7883.52,200,Kolkata,India,UPI
ORD-E1809D6F,CUST-B074C517,2024-05-02,Cancelled,238528.69,50,Mumbai,India,UPI
ORD-3476BBC2,CUST-AD2443C4,2024-09-26,Completed,108938.93,200,Pune,India,UPI
ORD-3DD657CA,CUST-7D897851,2023-11-24,Cancelled,38897.82,0,Ahmedabad,India,Credit Card
ORD-F3DE8D84,CUST-67469594,2022-11-18,Cancelled,167852.17,0,Ahmedabad,India,UPI
ORD-12A38885,CUST-B5953ECB,2024-02-15,Returned,6603.37,50,Mumbai,India,Credit Card
ORD-B9FA08A2,CUST-B28B0B95,2024-10-17,Returned,34318.28,0,Kolkata,India,Credit Card
ORD-78A39757,CUST-29051638,2022-07-06,Cancelled,27857.01,0,Jaipur,India,Wallet
ORD-74DB6774,CUST-3A040905,2024-01-15,Pending,298678.62,0,Jaipur,India,Net Banking
ORD-730664FF,CUST-BD75547B,2022-08-06,Completed,56461.81,500,Hyderabad,India,Wallet
ORD-8E935F6D,CUST-E2080DB5,2023-06-05,Cancelled,4888.45,500,Kolkata,India,Wallet
ORD-61F47323,CUST-29051638,2023-01-26,Pending,73669.83,200,Jaipur,India,Wallet
ORD-1A636F46,CUST-722EC527,2024-10-29,Completed,378656.15,50,Chennai,India,UPI
ORD-EEC75E7D,CUST-EEB165DD,2022-09-20,Completed,42449.72,50,Bangalore,India,Net Banking
ORD-4F7C7087,CUST-513C4F9A,2023-12-04,Completed,36693.03,0,Chennai,India,UPI
ORD-002E9D72,CUST-E9D1B591,2023-03-06,Cancelled,44318.66,100,Chennai,India,Net Banking
ORD-971AA13F,CUST-4B532F33,2022-08-25,Completed,89449.65,0,Kolkata,India,Wallet
ORD-E37F0261,CUST-9A4AA13E,2022-04-19,Pending,3526.81,0,Kolkata,India,Net Banking
ORD-028D5AF5,CUST-EDF3C15B,2023-05-29,Completed,5207.07,0,Mumbai,India,Credit Card
ORD-EF8B7164,CUST-FC30449B,2024-07-15,Completed,179076.26,500,Surat,India,Wallet
ORD-4ED11D60,CUST-6803B1B9,2024-05-03,Pending,86512.03,200,Surat,India,Wallet
ORD-C4AFF532,CUST-28EF754F,2023-04-07,Pending,31262.98,0,Hyderabad,India,Wallet
ORD-D8F23037,CUST-7EDB390D,2022-06-02,Completed,3076.95,50,Mumbai,India,Net Banking
ORD-E8ADE593,CUST-1E552254,2023-06-26,Completed,19449.56,0,Hyderabad,India,UPI
ORD-AAA9C1A1,CUST-70AADADD,2022-11-11,Completed,225427.02,100,Bangalore,India,UPI
ORD-1ADC9865,CUST-7D897851,2023-01-12,Cancelled,7223.22,0,Ahmedabad,India,Wallet
ORD-9CB4FB95,CUST-C50666D5,2023-12-17,Completed,107888.81,0,Chennai,India,Wallet
ORD-5DA9C380,CUST-5122D7CA,2022-01-19,Completed,30254.44,100,Kolkata,India,Net Banking
ORD-6E0F4939,CUST-343A463E,2022-08-21,Returned,40294.36,100,Chennai,India,Wallet
ORD-98C0D425,CUST-32882E29,2022-03-31,Completed,7619.67,0,Pune,India,Credit Card
ORD-E47B3292,CUST-12D3C02B,2022-05-15,Completed,30504.45,0,Mumbai,India,Wallet
ORD-B1407C13,CUST-8A0973CF,2022-05-28,Pending,11023.92,200,Surat,India,Credit Card
ORD-558D0E52,CUST-9CF6F0F8,2022-04-22,Completed,179812.86,500,Ahmedabad,India,Wallet
ORD-0497E028,CUST-0F76F2BB,2024-04-08,Returned,16866.48,100,Ahmedabad,India,Credit Card
ORD-B729DA96,CUST-0487E461,2022-04-04,Pending,3998.77,100,Chennai,India,Net Banking
ORD-AEAF079F,CUST-4BD72F0C,2023-09-10,Cancelled,12693.46,500,Hyderabad,India,Wallet
ORD-AACA950B,CUST-6B7FC470,2022-03-05,Returned,157061.02,0,Mumbai,India,Net Banking
ORD-00D6DAE8,CUST-17F27F62,2022-10-23,Completed,5967.04,0,Kolkata,India,Wallet
ORD-1CDD4C54,CUST-EDA48EE8,2022-06-24,Completed,158013.73,50,Chennai,India,UPI
ORD-B3C62634,CUST-F9A7678A,2023-01-12,Completed,419848.63,500,Kolkata,India,Credit Card
ORD-F6014AB8,CUST-9A0358BF,2022-05-18,Completed,10380.43,200,Jaipur,India,Wallet
ORD-C4BA717D,CUST-F019CEC4,2023-11-09,Completed,12367.82,0,Mumbai,India,UPI
ORD-DAF11F44,CUST-14ECD596,2024-09-22,Returned,46446.87,0,Chennai,India,Net Banking
ORD-359FDB0C,CUST-F10F432C,2024-05-27,Completed,2050.85,0,Ahmedabad,India,Wallet
ORD-155F461E,CUST-5417B9A7,2024-01-07,Completed,54754.59,0,Jaipur,India,Credit Card
ORD-7F7637ED,CUST-693B289D,2022-06-17,Completed,16737.57,0,Ahmedabad,India,Credit Card
ORD-5F5AB819,CUST-F49D95BF,2022-06-04,Completed,279286.94,0,Jaipur,India,UPI
ORD-E064B276,CUST-EADD3A33,2024-03-14,Completed,40961.43,0,Chennai,India,UPI
ORD-AE7276B8,CUST-80396738,2022-12-06,Cancelled,49883.76,0,Pune,India,UPI
ORD-D3D9D759,CUST-F584371B,2024-09-17,Completed,150403.88,500,Pune,India,UPI
ORD-D93DE873,CUST-7212DDAD,2023-06-26,Completed,114829.42,100,Hyderabad,India,Wallet
ORD-80EB6E20,CUST-AF586E89,2024-07-20,Completed,16768.26,0,Surat,India,Net Banking
ORD-6AD51621,CUST-59F8BCEF,2023-06-24,Cancelled,233115.04,200,Mumbai,India,Wallet
ORD-BDA6E1C9,CUST-37BA0696,2023-12-08,Returned,64968.92,50,Jaipur,India,Net Banking
ORD-773B1A36,CUST-8D17B615,2022-11-04,Completed,55141.32,200,Hyderabad,India,UPI
ORD-466D4028,CUST-D4475EDD,2023-11-08,Pending,13752.72,200,Bangalore,India,Wallet
ORD-8270EB89,CUST-3FF948FC,2022-11-27,Pending,62926.82,100,Hyderabad,India,Credit Card
ORD-28FEE9EB,CUST-F902EDAD,2022-10-28,Completed,199950.25,100,Delhi,India,Credit Card
